stop_pattern_id,stop_id,stop_sequence,timepoint
717_0,6036,20,0
717_0,6037,21,0
717_0,6038,22,0
717_0,6039,23,0
717_0,6040,24,0
717_0,6041,25,0
717_0,6042,26,0
717_0,7042,27,1
465_0,2527,0,1
465_0,2533,1,0
465_0,2525,2,1
465_0,2511,3,0
465_0,2622,4,0
465_0,2623,5,0
465_0,2535,6,0
465_0,2583,7,0
465_0,2625,8,0
465_0,2627,9,0
465_0,2628,10,0
465_0,2629,11,0
465_0,2751,12,1
465_0,2503,13,0
465_0,2501,14,0
465_0,2504,15,0
465_0,2506,16,0
465_0,2508,17,0
465_0,2510,18,0
465_0,2512,19,0
465_0,2514,20,0
465_0,2516,21,0
465_0,2518,22,0
465_0,2520,23,0
465_0,2522,24,0
465_0,2524,25,0
465_0,2526,26,0
465_0,2528,27,0
465_0,2530,28,0
465_0,2532,29,0
465_0,2534,30,0
465_0,2536,31,0
465_0,2538,32,0
465_0,2540,33,0
465_0,2541,34,0
465_0,2543,35,0
465_0,2712,36,0
465_0,2547,37,0
465_0,2549,38,0
465_0,2716,39,0
465_0,2718,40,0
465_0,2720,41,0
465_0,2722,42,0
465_0,2724,43,0
465_0,2726,44,0
465_0,2728,45,0
465_0,2730,46,0
465_0,2732,47,0
465_0,2734,48,0
465_0,2736,49,0
465_0,2738,50,0
465_0,2740,51,0
465_0,2744,52,1
901_0,8461,0,1
901_0,9463,1,0
901_0,9464,2,0
901_0,9465,3,0
901_0,9466,4,0
901_0,9567,5,0
901_0,9568,6,0
901_0,9569,7,0
901_0,9570,8,0
901_0,9571,9,0
901_0,9572,10,0
901_0,9573,11,0
901_0,9574,12,0
901_0,9575,13,0
901_0,8579,14,1
901_0,9583,15,0
901_0,9584,16,0
901_0,9585,17,0
901_0,9586,18,0
901_0,9587,19,0
901_0,9688,20,0
901_0,9689,21,0
901_0,9690,22,0
901_0,9691,23,0
901_0,9692,24,0
901_0,9693,25,0
901_0,9694,26,0
901_0,9601,27,0
901_0,9602,28,0
901_0,9604,29,0
901_0,9605,30,1
465_1,2738,0,1
465_1,2740,1,0
465_1,2744,2,0
465_1,2748,3,0
465_1,2750,4,0
465_1,2752,5,0
465_1,2754,6,0
465_1,2756,7,0
465_1,2758,8,0
465_1,2760,9,0
465_1,2761,10,0
465_1,2762,11,0
465_1,2764,12,0
465_1,2765,13,0
465_1,2768,14,0
465_1,2554,15,0
465_1,2556,16,0
465_1,2558,17,0
465_1,2560,18,0
465_1,2562,19,0
465_1,2564,20,0
465_1,2566,21,0
465_1,2568,22,0
465_1,2570,23,0
465_1,2572,24,0
465_1,2574,25,0
465_1,2576,26,0
465_1,2578,27,0
465_1,2580,28,0
465_1,2582,29,0
465_1,2584,30,0
465_1,2586,31,0
465_1,2588,32,0
465_1,2590,33,0
465_1,2592,34,0
465_1,2501,35,0
465_1,2503,36,0
465_1,2742,37,1
465_1,2521,38,0
465_1,2523,39,0
465_1,2610,40,0
465_1,2505,41,0
465_1,2612,42,0
465_1,2613,43,0
465_1,2583,44,0
465_1,2625,45,0
465_1,2616,46,0
465_1,2617,47,0
465_1,2619,48,0
465_1,2527,49,1
465_1,2533,50,0
465_1,2525,51,1
901_1,8607,0,1
901_1,8604,1,0
901_1,8602,2,0
901_1,8601,3,0
901_1,8694,4,0
901_1,8693,5,0
901_1,8692,6,0
901_1,8691,7,0
901_1,8690,8,0
901_1,8689,9,0
901_1,8588,10,0
901_1,8587,11,0
901_1,8586,12,0
901_1,8585,13,0
901_1,8584,14,0
901_1,9580,15,1
901_1,8575,16,0
901_1,8573,17,0
901_1,8572,18,0
901_1,8571,19,0
901_1,8570,20,0
901_1,8569,21,0
901_1,8568,22,0
901_1,8467,23,0
901_1,8466,24,0
901_1,8465,25,0
901_1,8464,26,0
901_1,8463,27,0
901_1,8461,28,1
442_0,2032,0,1
442_0,2781,1,0
442_0,2500,2,0
442_0,2502,3,0
442_0,2504,4,0
442_0,2506,5,0
442_0,2508,6,0
442_0,2510,7,0
442_0,2512,8,0
442_0,2514,9,0
442_0,2516,10,0
442_0,2518,11,0
442_0,2520,12,0
442_0,2522,13,0
442_0,2524,14,0
442_0,2526,15,0
442_0,2528,16,0
442_0,2530,17,0
442_0,2532,18,0
442_0,2534,19,0
442_0,2536,20,0
442_0,2538,21,0
442_0,2540,22,0
442_0,2544,23,0
442_0,2546,24,0
442_0,2548,25,1
755_0,6018,0,1
755_0,7028,1,0
755_0,7027,2,0
755_0,7026,3,0
755_0,7025,4,0
755_0,7024,5,0
755_0,7023,6,0
755_0,7022,7,0
755_0,7021,8,0
755_0,7020,9,0
755_0,7019,10,0
755_0,7018,11,0
755_0,7017,12,0
755_0,7016,13,0
755_0,7015,14,0
755_0,7014,15,0
755_0,7013,16,0
755_0,7012,17,0
755_0,6509,18,0
755_0,5016,19,1
732_0,5112,0,1
732_0,4113,1,1
732_0,5102,2,1
732_0,5098,3,0
732_0,6012,4,0
732_0,6013,5,0
732_0,6014,6,0
732_0,6015,7,0
