from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
2001,PORI1,2,0,220__0__741__TZM__308__308,KPL__1__6455__RAIL__Rail_SaSu+Hol
2001,PORI1,2,0,220__0__449__TZM__302__1__302__1,KPL__1__6455__RAIL__Rail_SaSu+Hol
2003,PORI1,2,0,220__1__740__TZM__304__304,KPL__1__6455__RAIL__Rail_SaSu+Hol
2003,PORI1,2,0,220__1__448__TZM__311__311,KPL__1__6455__RAIL__Rail_SaSu+Hol
PORI2,2003,2,0,KPL__0__6452__RAIL__Rail_SaSu+Hol,226__0__439__TZM__310__1__310__1
7730,7730,2,120,27__0__705__TZM__208__208,7__1__714__TZM__114__114
8251,TAIT1,2,0,120__1__178__TZM__403__2__403__2,HVL__1__3621__RAIL__Rail_MTuWThF-XHol
6224,6224,2,240,2__1__434__NBM__28__2__28__2,12__0__405__NBM__35__1__35__1
TAIT2,9251,2,0,HVL__0__3844__RAIL__Rail_SaSu+Hol,120__0__453__TZM__419__419
PARA2,1001,2,240,KPL__0__6232__RAIL__Rail_MTuWThF-XHol,261__0__115__UZM__4__5__4__5
PARA2,1001,2,240,KPL__0__6232__RAIL__Rail_MTuWThF-XHol,261__0__115__UZM__4__6__4__6
1501,WAIK,2,240,281__0__105__UZM__3__4__3__4,KPL__1__6215__RAIL__Rail_MTuWThF-XHol
1501,WAIK,2,240,281__0__105__UZM__3__5__3__5,KPL__1__6215__RAIL__Rail_MTuWThF-XHol
PORI2,2003,2,0,KPL__0__6464__RAIL__Rail_SaSu+Hol,226__0__451__TZM__310__1__310__1
1001,PARA1,2,0,260__1__416__UZM__709__709,KPL__1__6447__RAIL__Rail_SaSu+Hol
1001,PARA1,2,0,260__1__716__UZM__110__5__110__5,KPL__1__6447__RAIL__Rail_SaSu+Hol
2003,PORI1,2,0,210__1__128__TZM__312__2__312__2,KPL__1__8213__RAIL__Rail_MTuWThF-XHol
UPPE,8579,2,240,HVL__0__2622__RAIL__Rail_MTuWThF-XHol,112__0__109__TZM__514__514
TAIT2,9251,2,0,HVL__0__3818__RAIL__Rail_SaSu+Hol,120__0__407__TZM__408__1__408__1
WATE2,9165,2,0,HVL__0__3626__RAIL__Rail_MTuWThF-XHol,130__0__169__TZM__416__1__416__1
2003,PORI1,2,0,220__1__184__TZM__302__2__302__2,KPL__1__6333__RAIL__Rail_MTuWThF-XHol
2001,PORI1,2,0,220__0__191__TZM__303__2__303__2,KPL__1__6333__RAIL__Rail_MTuWThF-XHol
2002,PORI2,2,0,60e__0__103__MNM__3011__3011,KPL__0__6226__RAIL__Rail_MTuWThF-XHol
2002,PORI2,2,0,60e__0__103__MNM__3011__1__3011__1,KPL__0__6226__RAIL__Rail_MTuWThF-XHol
WATE2,9165,2,0,HVL__0__3840__RAIL__Rail_SaSu+Hol,150__0__421__TZM__418__418
2003,PORI1,2,0,226__0__441__TZM__311__311,KPL__1__6449__RAIL__Rail_SaSu+Hol
6055,6017,2,240,1__1__226__TZM__215__2__215__2,23__0__127__TZM__122__122
6224,6224,2,240,2__1__236__NBM__34__3__34__3,12__0__139__NBM__118__2__118__2
9525,TREN1,2,0,114__0__109__TZM__527__527,HVL__1__2625__RAIL__Rail_MTuWThF-XHol
2001,PORI1,2,0,220__0__423__TZM__302__1__302__1,KPL__1__6429__RAIL__Rail_SaSu+Hol
2001,PORI1,2,0,220__0__715__TZM__305__305,KPL__1__6429__RAIL__Rail_SaSu+Hol
8165,WATE1,2,0,150__1__412__TZM__406__1__406__1,HVL__1__3827__RAIL__Rail_SaSu+Hol
1501,WAIK,2,240,280__0__141__UZM__30__4__30__4,KPL__1__6335__RAIL__Rail_MTuWThF-XHol
WATE2,9140,2,0,HVL__0__3862__RAIL__Rail_SaSu+Hol,160__0__725__TZM__402__402
PARE,2600,2,240,KPL__0__6340__RAIL__Rail_MTuWThF-XHol,236__0__135__TZM__323__323
4915,4915,2,0,21__1__444__NBM__17__2__17__2,22__1__444__NBM__7__2__7__2
6733,6730,2,120,7__0__503__TZM__217__1__217__1,27__1__422__TZM__220__220
UPPE,8579,2,240,HVL__0__2624__RAIL__Rail_MTuWThF-XHol,110__0__115__TZM__513__2__513__2
WATE2,9140,2,0,HVL__0__3836__RAIL__Rail_SaSu+Hol,160__0__425__TZM__602__1__602__1
WATE2,9140,2,0,HVL__0__3818__RAIL__Rail_SaSu+Hol,170__0__703__TZM__602__602
8580,UPPE,2,240,110__1__128__TZM__503__2__503__2,HVL__1__2623__RAIL__Rail_MTuWThF-XHol
5915,5915,2,0,21__0__719__NBM__3__1__3__1,22__0__719__NBM__36__36
8580,UPPE,2,240,112__1__110__TZM__506__2__506__2,HVL__1__2621__RAIL__Rail_MTuWThF-XHol
PARE,2600,2,240,KPL__0__6332__RAIL__Rail_MTuWThF-XHol,236__0__127__TZM__317__317
PARE,2600,2,240,KPL__0__6332__RAIL__Rail_MTuWThF-XHol,236__0__127__TZM__317__2__317__2
PORI2,2002,2,0,KPL__0__6444__RAIL__Rail_SaSu+Hol,230__0__417__TZM__308__1__308__1
PORI2,2003,2,0,KPL__0__6424__RAIL__Rail_SaSu+Hol,226__0__411__TZM__307__1__307__1
9001,PETO1,2,0,150__1__102__TZM__405__2__405__2,HVL__1__4603__RAIL__Rail_MTuWThF-XHol
PARA2,1000,2,0,KPL__0__6428__RAIL__Rail_SaSu+Hol,250__0__409__UZM__710__710
PORI2,2003,2,0,KPL__0__6222__RAIL__Rail_MTuWThF-XHol,226__0__109__TZM__304__2__304__2
PORI2,2003,2,0,KPL__0__6222__RAIL__Rail_MTuWThF-XHol,226__0__109__TZM__304__3__304__3
3000,3000,2,120,1__0__151__TZM__203__2__203__2,19__0__149__TZM__228__228
PORI2,2002,2,0,KPL__0__6472__RAIL__Rail_SaSu+Hol,236__0__431__TZM__305__1__305__1
2003,PORI1,2,0,210__1__102__TZM__305__2__305__2,KPL__1__6209__RAIL__Rail_MTuWThF-XHol
1001,PARA1,2,0,250__0__139__UZM__26__4__26__4,KPL__1__6335__RAIL__Rail_MTuWThF-XHol
2002,PORI1,2,0,230__1__104__TZM__301__2__301__2,KPL__1__8201__RAIL__Rail_MTuWThF-XHol
2002,PORI1,2,0,230__1__104__TZM__301__3__301__3,KPL__1__8201__RAIL__Rail_MTuWThF-XHol
5915,5915,2,0,21__0__433__NBM__202__4__202__4,22__0__433__NBM__30__2__30__2
6733,6730,2,120,7__0__455__TZM__103__1__103__1,27__1__416__TZM__102__1__102__1
8140,WATE1,2,0,160__1__424__TZM__605__605,HVL__1__3833__RAIL__Rail_SaSu+Hol
8140,WATE1,2,0,160__1__710__TZM__603__603,HVL__1__3833__RAIL__Rail_SaSu+Hol
4915,4915,2,0,22__1__446__NBM__13__2__13__2,21__1__446__NBM__205__4__205__4
PORI2,2002,2,0,KPL__0__6432__RAIL__Rail_SaSu+Hol,230__0__707__TZM__307__307
8165,WATE1,2,0,150__1__140__TZM__601__2__601__2,HVL__1__3619__RAIL__Rail_MTuWThF-XHol
5915,5915,2,0,22__0__705__NBM__20__20,21__0__705__NBM__31__31
6720,7720,2,120,7__0__163__TZM__213__2__213__2,29__1__148__TZM__128__128
7700,7720,2,30,7__1__168__TZM__115__2__115__2,29__1__148__TZM__128__128
5915,5915,2,0,22__0__713__NBM__21__21,21__0__713__NBM__1__1__1__1
8251,TAIT1,2,0,120__1__416__TZM__408__1__408__1,HVL__1__3823__RAIL__Rail_SaSu+Hol
2003,PORI1,2,0,210__1__124__TZM__312__2__312__2,KPL__1__6319__RAIL__Rail_MTuWThF-XHol
6055,6017,2,240,1__1__774__TZM__115__115,23__0__719__TZM__107__107
6733,6730,2,120,7__0__737__TZM__111__1__111__1,27__1__718__TZM__212__212
2002,PORI1,2,0,236__1__700__TZM__304__304,KPL__1__6415__RAIL__Rail_SaSu+Hol
2002,PORI1,2,0,236__1__402__TZM__302__1__302__1,KPL__1__6415__RAIL__Rail_SaSu+Hol
3081,3081,2,120,60__1__126__MNM__3122__3122,1__1__190__TZM__112__5__112__5
8251,TAIT1,2,0,120__1__456__TZM__416__416,HVL__1__3843__RAIL__Rail_SaSu+Hol
6055,6017,2,240,1__1__164__TZM__108__2__108__2,23__0__153__TZM__105__2__105__2
PORI2,2001,2,0,KPL__0__6234__RAIL__Rail_MTuWThF-XHol,220__0__131__TZM__320__320
1001,PARA1,2,0,260__1__130__UZM__38__5__38__5,KPL__1__6323__RAIL__Rail_MTuWThF-XHol
8140,WATE1,2,0,160__1__116__TZM__613__613,HVL__1__4613__RAIL__Rail_MTuWThF-XHol
SILV,8416,2,240,HVL__0__3816__RAIL__Rail_Sa,115__0__403__TZM__502__1__502__1
1501,WAIK,2,240,280__0__111__UZM__33__5__33__5,KPL__1__6217__RAIL__Rail_MTuWThF-XHol
1501,WAIK,2,240,280__0__111__UZM__33__6__33__6,KPL__1__6217__RAIL__Rail_MTuWThF-XHol
4915,4915,2,0,21__1__212__NBM__32__3__32__3,22__1__218__NBM__5__3__5__3
PARA2,1001,2,240,KPL__0__6438__RAIL__Rail_SaSu+Hol,261__0__713__UZM__114__5__114__5
1001,PARA1,2,0,261__1__138__UZM__24__4__24__4,KPL__1__6335__RAIL__Rail_MTuWThF-XHol
WAIK,1501,2,240,KPL__0__6420__RAIL__Rail_SaSu+Hol,280__0__405__UZM__706__706
7036,7036,2,120,28__1__106__NBM__1001__4__1001__4,30x__1__112__NBM__64__64
9001,PETO1,2,0,150__1__416__TZM__415__1__415__1,HVL__1__3833__RAIL__Rail_SaSu+Hol
2003,PORI1,2,0,210__1__424__TZM__312__1__312__1,KPL__1__6455__RAIL__Rail_SaSu+Hol
2003,PORI1,2,0,210__1__722__TZM__303__303,KPL__1__6455__RAIL__Rail_SaSu+Hol
8140,WATE1,2,0,160__1__728__TZM__402__402,HVL__1__3865__RAIL__Rail_SaSu+Hol
8140,WATE1,2,0,160__1__456__TZM__602__1__602__1,HVL__1__3865__RAIL__Rail_SaSu+Hol
8580,UPPE,2,240,110__1__724__TZM__501__501,HVL__1__3837__RAIL__Rail_SaSu+Hol
8580,UPPE,2,240,110__1__444__TZM__513__1__513__1,HVL__1__3837__RAIL__Rail_SaSu+Hol
9001,PETO1,2,0,150__1__114__TZM__404__2__404__2,MEL__1__5613__RAIL__Rail_MTuWThF-XHol
UPPE,8579,2,240,HVL__0__3844__RAIL__Rail_SaSu+Hol,110__0__449__TZM__509__509
9001,PETO1,2,0,154__0__101__TZM__403__2__403__2,MEL__1__5609__RAIL__Rail_MTuWThF-XHol
7700,7720,2,30,7__1__484__TZM__109__2__109__2,29__1__424__TZM__101__2__101__2
6720,7720,2,120,7__0__507__TZM__107__1__107__1,29__1__424__TZM__101__2__101__2
WATE2,9165,2,0,HVL__0__3654__RAIL__Rail_MTuWThF-XHol,150__0__155__TZM__428__428
3000,3000,2,120,1__0__459__TZM__206__1__206__1,60__0__433__MNM__2041__2041
8251,TAIT1,2,0,120__1__700__TZM__402__402,HVL__1__3815__RAIL__Rail_SaSu+Hol
8580,UPPE,2,240,111__0__155__TZM__513__2__513__2,HVL__1__3645__RAIL__Rail_MTuWThF-XHol
3081,3081,2,120,60__1__420__MNM__2101__2101,1__1__442__TZM__205__1__205__1
7026,7224,2,240,12__1__138__NBM__117__3__117__3,2__0__261__NBM__29__4__29__4
PORI2,2002,2,0,KPL__0__6312__RAIL__Rail_MTuWThF-XHol,236__0__113__TZM__306__2__306__2
PORI2,2002,2,0,KPL__0__6312__RAIL__Rail_MTuWThF-XHol,236__0__113__TZM__306__3__306__3
6224,6224,2,240,2__1__268__NBM__44__3__44__3,12__0__151__NBM__159__159
SILV,8416,2,240,HVL__0__3642__RAIL__Rail_MTuWThF-XHol,115__0__135__TZM__502__2__502__2
WATE2,9140,2,0,HVL__0__3834__RAIL__Rail_SaSu+Hol,170__0__711__TZM__602__602
6055,6017,2,240,1__1__118__TZM__102__2__102__2,23__0__105__TZM__127__127
5915,5915,2,0,22__0__225__NBM__19__3__19__3,21__0__223__NBM__200__2__200__2
3081,3081,2,120,60__1__160__MNM__3141__3141,1__1__258__TZM__117__1__117__1
1810,FEAT,2,0,200__0__103__TZM__1001__2__1001__2,WRL__1__1601__RAIL__Rail_MTuWThF-XHol
1501,WAIK,2,240,280__0__115__UZM__19__4__19__4,KPL__1__6221__RAIL__Rail_MTuWThF-XHol
7700,7720,2,30,7__1__734__TZM__107__107,29__1__716__TZM__208__208
6720,7720,2,120,7__0__733__TZM__206__206,29__1__716__TZM__208__208
3081,3081,2,120,60__1__414__MNM__2111__2111,1__1__430__TZM__106__1__106__1
PETO2,9001,2,0,HVL__0__3838__RAIL__Rail_SaSu+Hol,150__0__421__TZM__418__418
PORI2,2001,2,0,KPL__0__6464__RAIL__Rail_SaSu+Hol,220__0__453__TZM__311__311
PARA2,1000,2,0,KPL__0__6214__RAIL__Rail_MTuWThF-XHol,260__0__105__UZM__35__5__35__5
PARA2,1000,2,0,KPL__0__6214__RAIL__Rail_MTuWThF-XHol,260__0__105__UZM__35__6__35__6
5915,5915,2,0,21__0__219__NBM__200__2__200__2,22__0__221__NBM__203__5__203__5
2003,PORI1,2,0,210__1__104__TZM__312__2__312__2,KPL__1__6211__RAIL__Rail_MTuWThF-XHol
2002,PORI2,2,0,60__0__405__MNM__2101__2101,KPL__0__6422__RAIL__Rail_SaSu+Hol
8140,WATE1,2,0,160__1__154__TZM__606__606,HVL__1__4621__RAIL__Rail_MTuWThF-XHol
8251,TAIT1,2,0,120__1__158__TZM__435__435,HVL__1__3607__RAIL__Rail_MTuWThF-XHol
PORI1,2002,2,0,KPL__1__6223__RAIL__Rail_MTuWThF-XHol,60__1__110__MNM__3111__3111
8580,UPPE,2,240,112__1__114__TZM__514__514,HVL__1__2629__RAIL__Rail_MTuWThF-XHol
6224,6224,2,240,2__1__512__NBM__37__2__37__2,12__0__431__NBM__13__2__13__2
6224,6224,2,240,2__1__510__NBM__12__2__12__2,12__0__431__NBM__13__2__13__2
WATE2,9165,2,0,HVL__0__3852__RAIL__Rail_SaSu+Hol,150__0__717__TZM__401__401
4915,4915,2,0,21__1__702__NBM__15__15,22__1__702__NBM__10__10
WATE2,9165,2,0,HVL__0__4620__RAIL__Rail_MTuWThF-XHol,130__0__179__TZM__521__521
WATE2,9165,2,0,HVL__0__3634__RAIL__Rail_MTuWThF-XHol,130__0__179__TZM__521__521
PARA2,1000,2,0,KPL__0__6448__RAIL__Rail_SaSu+Hol,250__0__719__UZM__106__2__106__2
7720,7700,2,60,29__0__409__TZM__114__1__114__1,7__1__432__TZM__221__221
8140,WATE1,2,0,160__1__432__TZM__603__1__603__1,HVL__1__3841__RAIL__Rail_SaSu+Hol
8140,WATE1,2,0,160__1__714__TZM__402__402,HVL__1__3841__RAIL__Rail_SaSu+Hol
TREN2,9525,2,0,HVL__0__3818__RAIL__Rail_SaSu+Hol,114__1__402__TZM__504__1__504__1
WAIK,1501,2,240,KPL__0__6344__RAIL__Rail_MTuWThF-XHol,290__0__135__UZM__54__1__54__1
3000,3000,2,120,1__0__755__TZM__210__210,19__0__729__TZM__217__217
PORI2,2001,2,0,KPL__0__6460__RAIL__Rail_SaSu+Hol,210__0__423__TZM__312__1__312__1
MELL,9150,2,240,MEL__0__5622__RAIL__Rail_MTuWThF-XHol,145__0__109__TZM__402__2__402__2
7026,7224,2,240,12__1__122__NBM__30__3__30__3,2__0__199__NBM__55__2__55__2
3081,3081,2,120,60__1__408__MNM__2101__2101,1__1__418__TZM__203__1__203__1
8251,TAIT1,2,0,120__1__714__TZM__403__403,HVL__1__3831__RAIL__Rail_SaSu+Hol
WATE2,9165,2,0,HVL__0__3862__RAIL__Rail_SaSu+Hol,130__0__477__TZM__511__511
2003,PORI1,2,0,220__1__114__TZM__313__313,KPL__1__6219__RAIL__Rail_MTuWThF-XHol
2001,PORI1,2,0,220__0__121__TZM__317__317,KPL__1__6219__RAIL__Rail_MTuWThF-XHol
2001,PORI1,2,0,220__0__121__TZM__317__2__317__2,KPL__1__6219__RAIL__Rail_MTuWThF-XHol
2003,PORI1,2,0,220__1__116__TZM__311__1__311__1,KPL__1__6219__RAIL__Rail_MTuWThF-XHol
2003,PORI1,2,0,220__1__116__TZM__311__2__311__2,KPL__1__6219__RAIL__Rail_MTuWThF-XHol
