service_id,date,exception_type
39_2,20220909,1
39_2,20220912,1
39_2,20220913,1
39_2,20220915,1
39_2,20220916,1
39_2,20220919,1
39_2,20220920,1
39_2,20220922,1
39_2,20220923,1
39_2,20220926,1
39_2,20220927,1
39_2,20220929,1
39_2,20220930,1
6092,20220829,1
6092,20220830,1
6092,20220831,1
6092,20220901,1
6092,20220902,1
6092,20220905,1
6092,20220906,1
6092,20220907,1
6092,20220908,1
6092,20220909,1
6092,20220912,1
6092,20220913,1
6092,20220914,1
6092,20220915,1
6092,20220916,1
6092,20220919,1
6092,20220920,1
6092,20220921,1
6092,20220922,1
6092,20220923,1
6092,20220926,1
6092,20220927,1
6092,20220928,1
6092,20220929,1
6092,20220930,1
129_1,20220829,1
129_1,20220830,1
129_1,20220831,1
129_1,20220901,1
129_1,20220902,1
129_1,20220905,1
129_1,20220906,1
129_1,20220907,1
129_1,20220908,1
129_1,20220909,1
129_1,20220912,1
129_1,20220913,1
129_1,20220914,1
129_1,20220915,1
129_1,20220916,1
129_1,20220919,1
129_1,20220920,1
129_1,20220921,1
129_1,20220922,1
129_1,20220923,1
129_1,20220926,1
129_1,20220927,1
129_1,20220928,1
129_1,20220929,1
129_1,20220930,1
127,20220829,1
127,20220830,1
127,20220831,1
127,20220901,1
127,20220902,1
127,20220905,1
127,20220906,1
127,20220907,1
127,20220908,1
127,20220909,1
127,20220912,1
127,20220913,1
127,20220914,1
127,20220915,1
127,20220916,1
127,20220919,1
127,20220920,1
127,20220921,1
127,20220922,1
127,20220923,1
127,20220926,1
127,20220927,1
127,20220928,1
127,20220929,1
127,20220930,1
213_1,20220903,1
213_1,20220910,1
213_1,20220917,1
213_1,20220924,1
213_1,20221001,1
315,20220829,1
315,20220830,1
315,20220831,1
315,20220901,1
315,20220902,1
315,20220905,1
315,20220906,1
315,20220907,1
315,20220908,1
315,20220909,1
315,20220912,1
315,20220913,1
315,20220914,1
315,20220915,1
315,20220916,1
315,20220919,1
315,20220920,1
315,20220921,1
315,20220922,1
315,20220923,1
315,20220926,1
315,20220927,1
315,20220928,1
315,20220929,1
315,20220930,1
19,20220828,1
19,20220904,1
19,20220911,1
19,20220918,1
19,20220925,1
513_1,20220903,1
513_1,20220910,1
513_1,20220917,1
513_1,20220924,1
513_1,20221001,1
322,20220901,1
322,20220908,1
322,20220915,1
322,20220922,1
322,20220929,1
54_1,20220829,1
54_1,20220830,1
54_1,20220831,1
54_1,20220901,1
54_1,20220902,1
54_1,20220905,1
54_1,20220906,1
54_1,20220907,1
54_1,20220908,1
54_1,20220909,1
54_1,20220912,1
54_1,20220913,1
54_1,20220914,1
54_1,20220915,1
54_1,20220916,1
54_1,20220919,1
54_1,20220920,1
54_1,20220921,1
54_1,20220922,1
54_1,20220923,1
54_1,20220926,1
54_1,20220927,1
54_1,20220928,1
54_1,20220929,1
54_1,20220930,1
6112,20220829,1
6112,20220830,1
6112,20220831,1
6112,20220901,1
6112,20220902,1
6112,20220905,1
6112,20220906,1
6112,20220907,1
6112,20220908,1
6112,20220909,1
6112,20220912,1
6112,20220913,1
6112,20220914,1
6112,20220915,1
6112,20220916,1
6112,20220919,1
6112,20220920,1
6112,20220921,1
6112,20220922,1
6112,20220923,1
6112,20220926,1
6112,20220927,1
6112,20220928,1
6112,20220929,1
6112,20220930,1
25_1,20220903,1
25_1,20220910,1
25_1,20220917,1
25_1,20220924,1
25_1,20221001,1
1002_1,20220903,1
1002_1,20220910,1
1002_1,20220917,1
1002_1,20220924,1
1002_1,20221001,1
58_1,20220829,1
58_1,20220830,1
58_1,20220831,1
58_1,20220901,1
58_1,20220902,1
58_1,20220905,1
58_1,20220906,1
58_1,20220907,1
58_1,20220908,1
58_1,20220909,1
58_1,20220912,1
58_1,20220913,1
58_1,20220914,1
58_1,20220915,1
58_1,20220916,1
58_1,20220919,1
58_1,20220920,1
58_1,20220921,1
58_1,20220922,1
58_1,20220923,1
58_1,20220926,1
58_1,20220927,1
58_1,20220928,1
58_1,20220929,1
58_1,20220930,1
428,20220829,1
428,20220830,1
428,20220831,1
428,20220901,1
428,20220902,1
428,20220905,1
428,20220906,1
428,20220907,1
428,20220908,1
428,20220909,1
428,20220912,1
428,20220913,1
428,20220914,1
428,20220915,1
428,20220916,1
428,20220919,1
428,20220920,1
428,20220921,1
428,20220922,1
428,20220923,1
428,20220926,1
428,20220927,1
428,20220928,1
428,20220929,1
428,20220930,1
714,20220903,1
714,20220910,1
714,20220917,1
714,20220924,1
714,20221001,1
417_1,20220829,1
417_1,20220830,1
417_1,20220831,1
417_1,20220901,1
417_1,20220902,1
417_1,20220905,1
417_1,20220906,1
417_1,20220907,1
417_1,20220908,1
417_1,20220909,1
417_1,20220912,1
417_1,20220913,1
417_1,20220914,1
417_1,20220915,1
417_1,20220916,1
417_1,20220919,1
417_1,20220920,1
417_1,20220921,1
417_1,20220922,1
417_1,20220923,1
417_1,20220926,1
417_1,20220927,1
417_1,20220928,1
417_1,20220929,1
417_1,20220930,1
304_3,20220830,1
304_3,20220901,1
304_3,20220906,1
304_3,20220908,1
304_3,20220913,1
304_3,20220915,1
304_3,20220920,1
304_3,20220922,1
304_3,20220927,1
304_3,20220929,1
204_2,20220829,1
204_2,20220830,1
204_2,20220831,1
204_2,20220901,1
204_2,20220902,1
204_2,20220905,1
204_2,20220906,1
204_2,20220907,1
204_2,20220908,1
204_2,20220909,1
204_2,20220912,1
204_2,20220913,1
204_2,20220914,1
204_2,20220915,1
204_2,20220916,1
204_2,20220919,1
204_2,20220920,1
204_2,20220921,1
204_2,20220922,1
204_2,20220923,1
204_2,20220926,1
204_2,20220927,1
204_2,20220928,1
204_2,20220929,1
204_2,20220930,1
217_1,20220903,1
217_1,20220910,1
217_1,20220917,1
217_1,20220924,1
217_1,20221001,1
208_1,20220903,1
208_1,20220910,1
208_1,20220917,1
208_1,20220924,1
208_1,20221001,1
314,20220829,1
314,20220830,1
314,20220831,1
314,20220901,1
314,20220902,1
314,20220905,1
314,20220906,1
314,20220907,1
314,20220908,1
314,20220909,1
314,20220912,1
314,20220913,1
314,20220914,1
314,20220915,1
314,20220916,1
314,20220919,1
314,20220920,1
314,20220921,1
314,20220922,1
314,20220923,1
314,20220926,1
314,20220927,1
314,20220928,1
314,20220929,1
314,20220930,1
22,20220828,1
22,20220904,1
22,20220911,1
22,20220918,1
22,20220925,1
322_2,20220830,1
322_2,20220906,1
322_2,20220913,1
322_2,20220920,1
322_2,20220927,1
415_1,20220903,1
415_1,20220910,1
415_1,20220917,1
415_1,20220924,1
415_1,20221001,1
206_3,20220828,1
206_3,20220904,1
206_3,20220911,1
206_3,20220918,1
206_3,20220925,1
526,20220829,1
526,20220830,1
526,20220831,1
526,20220901,1
526,20220902,1
526,20220905,1
526,20220906,1
526,20220907,1
526,20220908,1
526,20220909,1
526,20220912,1
526,20220913,1
526,20220914,1
526,20220915,1
526,20220916,1
526,20220919,1
526,20220920,1
526,20220921,1
526,20220922,1
526,20220923,1
526,20220926,1
526,20220927,1
526,20220928,1
526,20220929,1
526,20220930,1
1062,20220828,1
1062,20220904,1
1062,20220911,1
1062,20220918,1
1062,20220925,1
125,20220829,1
125,20220830,1
125,20220831,1
125,20220901,1
125,20220902,1
125,20220905,1
125,20220906,1
125,20220907,1
125,20220908,1
125,20220909,1
125,20220912,1
125,20220913,1
125,20220914,1
125,20220915,1
125,20220916,1
125,20220919,1
125,20220920,1
125,20220921,1
125,20220922,1
125,20220923,1
125,20220926,1
125,20220927,1
125,20220928,1
125,20220929,1
125,20220930,1
117_3,20220829,1
117_3,20220830,1
117_3,20220831,1
117_3,20220901,1
117_3,20220902,1
117_3,20220905,1
117_3,20220906,1
117_3,20220907,1
117_3,20220908,1
117_3,20220909,1
117_3,20220912,1
117_3,20220913,1
117_3,20220914,1
117_3,20220915,1
117_3,20220916,1
117_3,20220919,1
117_3,20220920,1
117_3,20220921,1
117_3,20220922,1
117_3,20220923,1
117_3,20220926,1
117_3,20220927,1
117_3,20220928,1
117_3,20220929,1
117_3,20220930,1
205_2,20220829,1
205_2,20220830,1
205_2,20220831,1
205_2,20220901,1
205_2,20220902,1
205_2,20220905,1
205_2,20220906,1
205_2,20220907,1
205_2,20220908,1
205_2,20220909,1
205_2,20220912,1
205_2,20220913,1
205_2,20220914,1
205_2,20220915,1
